Area,Genero,Cantidad_Empleados,Salario_Promedio
No metaliferos,Femenino,217,17497.79
No metaliferos,Masculino,1989,16875.53
No metaliferos,Desconocido,12,13535.71
Rocas de aplicacion,Femenino,351,12563.47
Rocas de aplicacion,Masculino,4449,17855.29
Rocas de aplicacion,Desconocido,28,18191.82
Servicios mineros y actividades relacionadas,Femenino,199,18482.86
Servicios mineros y actividades relacionadas,Masculino,5223,18980.29
Servicios mineros y actividades relacionadas,Desconocido,44,14768.54
Combustibles-Produccion,Femenino,178,43146.04
Combustibles-Produccion,Masculino,2713,54828.57
Combustibles-Produccion,Desconocido,24,52155.99
Litio-exploracion y financiacion,Femenino,19,27476.84
Litio-exploracion y financiacion,Masculino,115,30573.32
Litio-exploracion y financiacion,Desconocido,2,22880.0
Litio-Produccion,Femenino,77,24719.49
Litio-Produccion,Masculino,468,27766.95
Litio-Produccion,Desconocido,1,37006.2
Metaliferos-exploracion y financiacion,Femenino,7,18590.4
Metaliferos-exploracion y financiacion,Masculino,30,26254.83
Metaliferos-Produccion,Femenino,872,29291.69
Metaliferos-Produccion,Masculino,10860,33067.11
Metaliferos-Produccion,Desconocido,71,27843.6
Minerales no clasificados previamente,Femenino,361,14833.54
Minerales no clasificados previamente,Masculino,3832,14781.41
Minerales no clasificados previamente,Desconocido,28,12941.57
No metaliferos,Femenino,209,16483.31
No metaliferos,Masculino,1990,15979.34
No metaliferos,Desconocido,11,12376.76
Rocas de aplicacion,Femenino,336,12099.42
Rocas de aplicacion,Masculino,4412,17092.55
Rocas de aplicacion,Desconocido,27,17723.12
Servicios mineros y actividades relacionadas,Femenino,203,17005.48
Servicios mineros y actividades relacionadas,Masculino,5115,18153.37
Servicios mineros y actividades relacionadas,Desconocido,37,14043.4
Combustibles-Produccion,Femenino,196,51971.91
Combustibles-Produccion,Masculino,2738,67613.11
Combustibles-Produccion,Desconocido,25,80315.23
Litio-exploracion y financiacion,Femenino,20,32041.48
Litio-exploracion y financiacion,Masculino,113,37546.51
Litio-exploracion y financiacion,Desconocido,2,27117.38
Litio-Produccion,Femenino,76,28386.13
Litio-Produccion,Masculino,457,31541.54
Litio-Produccion,Desconocido,1,33366.67
Metaliferos-exploracion y financiacion,Femenino,6,26703.29
Metaliferos-exploracion y financiacion,Masculino,26,36279.54
Metaliferos-Produccion,Femenino,839,35722.92
Metaliferos-Produccion,Masculino,10537,42094.27
Metaliferos-Produccion,Desconocido,67,37552.97
Minerales no clasificados previamente,Femenino,371,17855.15
Minerales no clasificados previamente,Masculino,3830,18384.42
Minerales no clasificados previamente,Desconocido,27,16658.78
No metaliferos,Femenino,208,20134.22
No metaliferos,Masculino,1975,19881.35
No metaliferos,Desconocido,11,16027.8
Rocas de aplicacion,Femenino,328,14338.2
Rocas de aplicacion,Masculino,4426,21070.51
Rocas de aplicacion,Desconocido,27,21286.88
Servicios mineros y actividades relacionadas,Femenino,211,21481.31
Servicios mineros y actividades relacionadas,Masculino,5124,23678.11
Servicios mineros y actividades relacionadas,Desconocido,40,17489.55
Combustibles-Produccion,Femenino,212,46191.81
Combustibles-Produccion,Masculino,2750,57608.43
Combustibles-Produccion,Desconocido,25,49551.55
Litio-exploracion y financiacion,Femenino,18,34809.88
Litio-exploracion y financiacion,Masculino,105,38395.01
Litio-exploracion y financiacion,Desconocido,2,27505.95
Litio-Produccion,Femenino,81,36537.58
Litio-Produccion,Masculino,472,41335.47
Litio-Produccion,Desconocido,1,38610.0
Metaliferos-exploracion y financiacion,Femenino,5,37070.42
Metaliferos-exploracion y financiacion,Masculino,26,46113.61
Metaliferos-Produccion,Femenino,812,39266.69
Metaliferos-Produccion,Masculino,10204,46551.84
Metaliferos-Produccion,Desconocido,65,37869.09
Minerales no clasificados previamente,Femenino,377,18101.19
Minerales no clasificados previamente,Masculino,3810,17555.35
Minerales no clasificados previamente,Desconocido,26,14609.14
No metaliferos,Femenino,231,17417.35
No metaliferos,Masculino,2092,17363.22
No metaliferos,Desconocido,11,15980.72
Rocas de aplicacion,Femenino,335,13098.06
Rocas de aplicacion,Masculino,4508,18098.85
Rocas de aplicacion,Desconocido,26,17999.72
Servicios mineros y actividades relacionadas,Femenino,207,26812.36
Servicios mineros y actividades relacionadas,Masculino,5112,24714.31
Servicios mineros y actividades relacionadas,Desconocido,41,16366.55
Combustibles-Produccion,Femenino,212,55139.6
Combustibles-Produccion,Masculino,2757,61901.29
Combustibles-Produccion,Desconocido,26,56155.13
Litio-exploracion y financiacion,Femenino,18,42993.73
Litio-exploracion y financiacion,Masculino,103,46897.42
Litio-exploracion y financiacion,Desconocido,2,33291.2
Litio-Produccion,Femenino,86,37776.33
Litio-Produccion,Masculino,502,43884.59
Litio-Produccion,Desconocido,1,46846.8
Metaliferos-exploracion y financiacion,Femenino,5,32050.6
Metaliferos-exploracion y financiacion,Masculino,24,52438.68
Metaliferos-Produccion,Femenino,758,43219.75
Metaliferos-Produccion,Masculino,10030,51480.4
Metaliferos-Produccion,Desconocido,63,42742.98
Minerales no clasificados previamente,Femenino,372,22990.1
Minerales no clasificados previamente,Masculino,3817,23191.87
Minerales no clasificados previamente,Desconocido,27,20092.47
No metaliferos,Femenino,218,23830.22
No metaliferos,Masculino,1997,22919.05
No metaliferos,Desconocido,11,14507.54
Rocas de aplicacion,Femenino,326,17093.85
Rocas de aplicacion,Masculino,4454,23450.79
Rocas de aplicacion,Desconocido,25,23674.33
Servicios mineros y actividades relacionadas,Femenino,201,24946.59
Servicios mineros y actividades relacionadas,Masculino,5056,26649.72
Servicios mineros y actividades relacionadas,Desconocido,40,20587.08
Combustibles-Produccion,Femenino,210,51829.81
Combustibles-Produccion,Masculino,2735,63707.39
Combustibles-Produccion,Desconocido,26,56437.72
Litio-exploracion y financiacion,Femenino,18,47580.07
Litio-exploracion y financiacion,Masculino,106,41548.04
Litio-exploracion y financiacion,Desconocido,2,28887.87
Litio-Produccion,Femenino,96,39095.06
Litio-Produccion,Masculino,519,46166.55
Litio-Produccion,Desconocido,1,65766.0
Metaliferos-exploracion y financiacion,Femenino,9,33192.9
Metaliferos-exploracion y financiacion,Masculino,35,62135.31
Metaliferos-Produccion,Femenino,743,40468.21
Metaliferos-Produccion,Masculino,9980,47314.11
Metaliferos-Produccion,Desconocido,64,39715.68
Minerales no clasificados previamente,Femenino,358,19462.77
Minerales no clasificados previamente,Masculino,3760,20659.56
Minerales no clasificados previamente,Desconocido,28,16904.59
No metaliferos,Femenino,215,21514.23
No metaliferos,Masculino,1991,21788.34
No metaliferos,Desconocido,12,13772.39
Rocas de aplicacion,Femenino,325,16396.09
Rocas de aplicacion,Masculino,4452,22731.78
Rocas de aplicacion,Desconocido,25,22427.74
Servicios mineros y actividades relacionadas,Femenino,207,24305.33
Servicios mineros y actividades relacionadas,Masculino,5021,25426.86
Servicios mineros y actividades relacionadas,Desconocido,39,19439.73
Combustibles-Produccion,Femenino,209,65439.81
Combustibles-Produccion,Masculino,2718,83980.87
Combustibles-Produccion,Desconocido,26,80083.5
Litio-exploracion y financiacion,Femenino,19,47588.54
Litio-exploracion y financiacion,Masculino,115,50716.57
Litio-exploracion y financiacion,Desconocido,2,36615.12
Litio-Produccion,Femenino,105,40963.87
Litio-Produccion,Masculino,559,47792.39
Litio-Produccion,Desconocido,1,51980.23
Metaliferos-exploracion y financiacion,Femenino,22,43725.77
Metaliferos-exploracion y financiacion,Masculino,81,52048.04
Metaliferos-Produccion,Femenino,735,52008.2
Metaliferos-Produccion,Masculino,10101,58697.79
Metaliferos-Produccion,Desconocido,64,50749.9
Minerales no clasificados previamente,Femenino,369,23721.85
Minerales no clasificados previamente,Masculino,3782,26290.0
Minerales no clasificados previamente,Desconocido,30,21618.21
No metaliferos,Femenino,213,28668.3
No metaliferos,Masculino,2018,27494.36
No metaliferos,Desconocido,13,18609.45
Rocas de aplicacion,Femenino,330,20579.42
Rocas de aplicacion,Masculino,4496,28286.21
Rocas de aplicacion,Desconocido,26,29856.33
Servicios mineros y actividades relacionadas,Femenino,208,29933.24
Servicios mineros y actividades relacionadas,Masculino,5014,32094.57
Servicios mineros y actividades relacionadas,Desconocido,37,26237.46
Combustibles-Produccion,Femenino,204,64028.28
Combustibles-Produccion,Masculino,2594,76638.51
Combustibles-Produccion,Desconocido,26,66043.43
Litio-exploracion y financiacion,Femenino,20,38852.14
Litio-exploracion y financiacion,Masculino,124,45238.96
Litio-exploracion y financiacion,Desconocido,3,114668.92
Litio-Produccion,Femenino,116,45171.93
Litio-Produccion,Masculino,595,52104.26
Litio-Produccion,Desconocido,2,42583.08
Metaliferos-exploracion y financiacion,Femenino,28,36885.84
Metaliferos-exploracion y financiacion,Masculino,134,50602.78
Metaliferos-exploracion y financiacion,Desconocido,3,16339.97
Metaliferos-Produccion,Femenino,717,59764.36
Metaliferos-Produccion,Masculino,9982,73088.21
Metaliferos-Produccion,Desconocido,65,59245.14
Minerales no clasificados previamente,Femenino,369,24684.46
Minerales no clasificados previamente,Masculino,3767,25949.48
Minerales no clasificados previamente,Desconocido,27,18940.51
No metaliferos,Femenino,225,25075.77
No metaliferos,Masculino,2137,23964.05
No metaliferos,Desconocido,15,18240.84
Rocas de aplicacion,Femenino,331,19178.05
Rocas de aplicacion,Masculino,4600,25077.33
Rocas de aplicacion,Desconocido,23,25256.5
Servicios mineros y actividades relacionadas,Femenino,211,36322.56
Servicios mineros y actividades relacionadas,Masculino,4966,34227.9
Servicios mineros y actividades relacionadas,Desconocido,37,24742.17
Combustibles-Produccion,Femenino,199,69979.91
Combustibles-Produccion,Masculino,2492,81609.79
Combustibles-Produccion,Desconocido,25,73150.21
Litio-exploracion y financiacion,Femenino,22,52617.75
Litio-exploracion y financiacion,Masculino,145,50382.5
Litio-exploracion y financiacion,Desconocido,3,146653.84
Litio-Produccion,Femenino,120,46262.77
Litio-Produccion,Masculino,647,53305.1
Litio-Produccion,Desconocido,2,44291.17
Metaliferos-exploracion y financiacion,Femenino,35,35690.52
Metaliferos-exploracion y financiacion,Masculino,161,47247.02
Metaliferos-exploracion y financiacion,Desconocido,3,19040.92
Metaliferos-Produccion,Femenino,693,57218.97
Metaliferos-Produccion,Masculino,9782,65976.65
Metaliferos-Produccion,Desconocido,64,57386.38
Minerales no clasificados previamente,Femenino,354,27416.54
Minerales no clasificados previamente,Masculino,3678,30892.13
Minerales no clasificados previamente,Desconocido,26,24175.4
No metaliferos,Femenino,220,32441.72
No metaliferos,Masculino,2097,30378.69
No metaliferos,Desconocido,11,22356.32
Rocas de aplicacion,Femenino,329,22985.25
Rocas de aplicacion,Masculino,4603,31366.31
Rocas de aplicacion,Desconocido,22,31921.75
Servicios mineros y actividades relacionadas,Femenino,210,32700.21
Servicios mineros y actividades relacionadas,Masculino,4919,35975.13
Servicios mineros y actividades relacionadas,Desconocido,38,32235.11
Combustibles-Produccion,Femenino,195,57421.24
Combustibles-Produccion,Masculino,2447,72194.45
Combustibles-Produccion,Desconocido,25,66267.85
Litio-exploracion y financiacion,Femenino,25,30972.52
Litio-exploracion y financiacion,Masculino,155,44665.01
Litio-exploracion y financiacion,Desconocido,3,131665.84
Litio-Produccion,Femenino,126,48843.45
Litio-Produccion,Masculino,691,57098.16
Litio-Produccion,Desconocido,3,68855.64
Metaliferos-exploracion y financiacion,Femenino,38,32856.13
Metaliferos-exploracion y financiacion,Masculino,159,45796.63
Metaliferos-exploracion y financiacion,Desconocido,3,23635.79
Metaliferos-Produccion,Femenino,709,51518.27
Metaliferos-Produccion,Masculino,9810,57876.6
Metaliferos-Produccion,Desconocido,63,50294.77
Minerales no clasificados previamente,Femenino,353,26371.96
Minerales no clasificados previamente,Masculino,3691,28534.78
Minerales no clasificados previamente,Desconocido,23,23236.62
No metaliferos,Femenino,222,29133.29
No metaliferos,Masculino,2066,28072.18
No metaliferos,Desconocido,12,19609.46
Rocas de aplicacion,Femenino,332,21677.24
Rocas de aplicacion,Masculino,4629,30899.23
Rocas de aplicacion,Desconocido,23,30194.77
Servicios mineros y actividades relacionadas,Femenino,206,31197.99
Servicios mineros y actividades relacionadas,Masculino,4804,33605.83
Servicios mineros y actividades relacionadas,Desconocido,38,26449.64
Combustibles-Produccion,Femenino,191,67006.78
Combustibles-Produccion,Masculino,2382,86688.04
Combustibles-Produccion,Desconocido,25,79487.66
Litio-exploracion y financiacion,Femenino,28,35534.89
Litio-exploracion y financiacion,Masculino,159,53622.46
Litio-exploracion y financiacion,Desconocido,3,156773.09
Litio-Produccion,Femenino,148,48267.68
Litio-Produccion,Masculino,769,58540.91
Litio-Produccion,Desconocido,4,73340.9
Metaliferos-exploracion y financiacion,Femenino,38,39313.9
Metaliferos-exploracion y financiacion,Masculino,187,55655.75
Metaliferos-exploracion y financiacion,Desconocido,4,27637.52
Metaliferos-Produccion,Femenino,712,67125.45
Metaliferos-Produccion,Masculino,9777,78234.94
Metaliferos-Produccion,Desconocido,61,70540.86
Minerales no clasificados previamente,Femenino,373,34192.81
Minerales no clasificados previamente,Masculino,3807,36139.33
Minerales no clasificados previamente,Desconocido,24,28320.36
No metaliferos,Femenino,238,34227.52
No metaliferos,Masculino,2118,34403.82
No metaliferos,Desconocido,14,24000.44
Rocas de aplicacion,Femenino,338,25893.05
Rocas de aplicacion,Masculino,4773,37666.77
Rocas de aplicacion,Desconocido,27,39037.1
Servicios mineros y actividades relacionadas,Femenino,205,39857.73
Servicios mineros y actividades relacionadas,Masculino,4819,42579.17
Servicios mineros y actividades relacionadas,Desconocido,37,33037.58
Combustibles-Produccion,Femenino,181,66733.94
Combustibles-Produccion,Masculino,2222,82758.66
Combustibles-Produccion,Desconocido,23,79041.4
Litio-exploracion y financiacion,Femenino,26,36063.61
Litio-exploracion y financiacion,Masculino,155,52797.32
Litio-exploracion y financiacion,Desconocido,3,174840.78
Litio-Produccion,Femenino,169,49058.18
Litio-Produccion,Masculino,810,60182.44
Litio-Produccion,Desconocido,5,66515.69
Metaliferos-exploracion y financiacion,Femenino,44,40040.81
Metaliferos-exploracion y financiacion,Masculino,218,59600.06
Metaliferos-exploracion y financiacion,Desconocido,3,24225.72
Metaliferos-Produccion,Femenino,722,80345.45
Metaliferos-Produccion,Masculino,9737,94655.73
Metaliferos-Produccion,Desconocido,61,81983.89
Minerales no clasificados previamente,Femenino,400,34341.94
Minerales no clasificados previamente,Masculino,4016,34028.54
Minerales no clasificados previamente,Desconocido,26,25543.16
No metaliferos,Femenino,260,30993.68
No metaliferos,Masculino,2209,30720.39
No metaliferos,Desconocido,15,22546.59
Rocas de aplicacion,Femenino,359,23604.03
Rocas de aplicacion,Masculino,4925,33054.69
Rocas de aplicacion,Desconocido,30,30382.91
Servicios mineros y actividades relacionadas,Femenino,206,46911.73
Servicios mineros y actividades relacionadas,Masculino,4772,44293.08
Servicios mineros y actividades relacionadas,Desconocido,38,32757.13
Combustibles-Produccion,Femenino,152,67097.69
Combustibles-Produccion,Masculino,1928,81613.32
Combustibles-Produccion,Desconocido,20,80989.27
Litio-exploracion y financiacion,Femenino,26,43261.17
Litio-exploracion y financiacion,Masculino,159,65152.6
Litio-exploracion y financiacion,Desconocido,3,244200.73
Litio-Produccion,Femenino,168,55765.67
Litio-Produccion,Masculino,799,70133.27
Litio-Produccion,Desconocido,5,92162.39
Metaliferos-exploracion y financiacion,Femenino,47,46670.52
Metaliferos-exploracion y financiacion,Masculino,233,77707.41
Metaliferos-exploracion y financiacion,Desconocido,3,26925.63
Metaliferos-Produccion,Femenino,719,71612.97
Metaliferos-Produccion,Masculino,9525,82391.46
Metaliferos-Produccion,Desconocido,60,72592.72
Minerales no clasificados previamente,Femenino,428,40822.42
Minerales no clasificados previamente,Masculino,4239,43014.68
Minerales no clasificados previamente,Desconocido,25,34699.14
No metaliferos,Femenino,258,39063.17
No metaliferos,Masculino,2278,37012.47
No metaliferos,Desconocido,15,26296.64
Rocas de aplicacion,Femenino,358,29310.69
Rocas de aplicacion,Masculino,4924,39857.29
Rocas de aplicacion,Desconocido,32,35435.62
Servicios mineros y actividades relacionadas,Femenino,215,42266.7
Servicios mineros y actividades relacionadas,Masculino,4818,46159.41
Servicios mineros y actividades relacionadas,Desconocido,40,38293.05
Combustibles-Produccion,Femenino,156,61466.99
Combustibles-Produccion,Masculino,1970,73222.12
Combustibles-Produccion,Desconocido,20,70678.49
Litio-exploracion y financiacion,Femenino,30,46842.1
Litio-exploracion y financiacion,Masculino,164,63251.43
Litio-exploracion y financiacion,Desconocido,3,268897.89
Litio-Produccion,Femenino,178,59568.38
Litio-Produccion,Masculino,819,76163.33
Litio-Produccion,Desconocido,5,99645.15
Metaliferos-exploracion y financiacion,Femenino,49,43322.2
Metaliferos-exploracion y financiacion,Masculino,252,72412.3
Metaliferos-exploracion y financiacion,Desconocido,3,22106.33
Metaliferos-Produccion,Femenino,709,64583.9
Metaliferos-Produccion,Masculino,9208,74336.82
Metaliferos-Produccion,Desconocido,59,61800.69
Minerales no clasificados previamente,Femenino,418,34416.79
Minerales no clasificados previamente,Masculino,4260,38021.49
Minerales no clasificados previamente,Desconocido,26,35158.53
No metaliferos,Femenino,264,36146.94
No metaliferos,Masculino,2223,34482.42
No metaliferos,Desconocido,16,23501.22
Rocas de aplicacion,Femenino,359,27014.28
Rocas de aplicacion,Masculino,4906,36403.05
Rocas de aplicacion,Desconocido,29,36576.57
Servicios mineros y actividades relacionadas,Femenino,219,40079.45
Servicios mineros y actividades relacionadas,Masculino,4818,42593.0
Servicios mineros y actividades relacionadas,Desconocido,43,32488.71
Combustibles-Produccion,Femenino,156,73904.25
Combustibles-Produccion,Masculino,1964,87790.96
Combustibles-Produccion,Desconocido,19,84321.27
Litio-exploracion y financiacion,Femenino,38,92608.68
Litio-exploracion y financiacion,Masculino,175,89355.05
Litio-exploracion y financiacion,Desconocido,3,250331.73
Litio-Produccion,Femenino,198,68916.32
Litio-Produccion,Masculino,871,86634.05
Litio-Produccion,Desconocido,6,102698.11
Metaliferos-exploracion y financiacion,Femenino,57,52324.08
Metaliferos-exploracion y financiacion,Masculino,332,79865.54
Metaliferos-exploracion y financiacion,Desconocido,3,28981.1
Metaliferos-Produccion,Femenino,727,84272.23
Metaliferos-Produccion,Masculino,9029,98163.18
Metaliferos-Produccion,Desconocido,60,82962.62
Minerales no clasificados previamente,Femenino,398,45474.39
Minerales no clasificados previamente,Masculino,4167,48681.68
Minerales no clasificados previamente,Desconocido,25,46979.16
No metaliferos,Femenino,267,47040.26
No metaliferos,Masculino,2203,46401.26
No metaliferos,Desconocido,16,32721.35
Rocas de aplicacion,Femenino,361,34246.98
Rocas de aplicacion,Masculino,4941,46602.85
Rocas de aplicacion,Desconocido,25,47189.53
Servicios mineros y actividades relacionadas,Femenino,226,49074.05
Servicios mineros y actividades relacionadas,Masculino,4908,55082.09
Servicios mineros y actividades relacionadas,Desconocido,46,41404.89
Combustibles-Produccion,Femenino,154,68888.55
Combustibles-Produccion,Masculino,1953,77558.85
Combustibles-Produccion,Desconocido,19,74879.5
Litio-exploracion y financiacion,Femenino,43,89011.49
Litio-exploracion y financiacion,Masculino,206,100711.49
Litio-exploracion y financiacion,Desconocido,3,330493.05
Litio-Produccion,Femenino,211,76079.77
Litio-Produccion,Masculino,929,95757.52
Litio-Produccion,Desconocido,6,106529.42
Metaliferos-exploracion y financiacion,Femenino,69,56160.24
Metaliferos-exploracion y financiacion,Masculino,452,79785.84
Metaliferos-exploracion y financiacion,Desconocido,5,32625.95
Metaliferos-Produccion,Femenino,723,123827.65
Metaliferos-Produccion,Masculino,8991,143374.28
Metaliferos-Produccion,Desconocido,60,113405.6
Minerales no clasificados previamente,Femenino,402,53595.23
Minerales no clasificados previamente,Masculino,4166,55394.06
Minerales no clasificados previamente,Desconocido,25,52676.99
No metaliferos,Femenino,303,40906.27
No metaliferos,Masculino,2380,41189.4
No metaliferos,Desconocido,17,31492.21
Rocas de aplicacion,Femenino,361,32582.36
Rocas de aplicacion,Masculino,4921,42592.84
Rocas de aplicacion,Desconocido,26,42764.85
Servicios mineros y actividades relacionadas,Femenino,216,48165.62
Servicios mineros y actividades relacionadas,Masculino,4784,53143.39
Servicios mineros y actividades relacionadas,Desconocido,45,40255.08
Combustibles-Produccion,Femenino,155,76233.03
Combustibles-Produccion,Masculino,1948,93585.2
Combustibles-Produccion,Desconocido,19,90425.3
Litio-exploracion y financiacion,Femenino,49,123771.38
Litio-exploracion y financiacion,Masculino,216,169053.78
Litio-exploracion y financiacion,Desconocido,4,369986.62
Litio-Produccion,Femenino,217,80353.65
Litio-Produccion,Masculino,1001,98418.13
Litio-Produccion,Desconocido,9,84376.4
Metaliferos-exploracion y financiacion,Femenino,77,68300.42
Metaliferos-exploracion y financiacion,Masculino,547,105115.85
Metaliferos-exploracion y financiacion,Desconocido,4,61349.79
Metaliferos-Produccion,Femenino,726,119758.75
Metaliferos-Produccion,Masculino,8916,132978.44
Metaliferos-Produccion,Desconocido,59,104675.62
Minerales no clasificados previamente,Femenino,402,57410.42
Minerales no clasificados previamente,Masculino,4222,59765.42
Minerales no clasificados previamente,Desconocido,26,62779.41
No metaliferos,Femenino,289,54618.23
No metaliferos,Masculino,2260,55196.24
No metaliferos,Desconocido,16,39650.72
Rocas de aplicacion,Femenino,356,40900.18
Rocas de aplicacion,Masculino,4835,54707.6
Rocas de aplicacion,Desconocido,23,59599.4
Servicios mineros y actividades relacionadas,Femenino,217,68692.82
Servicios mineros y actividades relacionadas,Masculino,4684,71748.74
Servicios mineros y actividades relacionadas,Desconocido,46,50642.1
Combustibles-Produccion,Femenino,156,69281.21
Combustibles-Produccion,Masculino,1948,85404.46
Combustibles-Produccion,Desconocido,19,83027.91
Litio-exploracion y financiacion,Femenino,49,126637.78
Litio-exploracion y financiacion,Masculino,166,221606.88
Litio-exploracion y financiacion,Desconocido,4,346695.66
Litio-Produccion,Femenino,231,99455.4
Litio-Produccion,Masculino,1031,126768.42
Litio-Produccion,Desconocido,10,89772.99
Metaliferos-exploracion y financiacion,Femenino,84,67250.06
Metaliferos-exploracion y financiacion,Masculino,584,91887.39
Metaliferos-exploracion y financiacion,Desconocido,5,57090.77
Metaliferos-Produccion,Femenino,732,101083.39
Metaliferos-Produccion,Masculino,8927,118574.61
Metaliferos-Produccion,Desconocido,58,97487.39
Minerales no clasificados previamente,Femenino,409,54872.23
Minerales no clasificados previamente,Masculino,4284,55122.8
Minerales no clasificados previamente,Desconocido,26,59097.4
No metaliferos,Femenino,275,55113.52
No metaliferos,Masculino,2150,55890.82
No metaliferos,Desconocido,14,38832.22
Rocas de aplicacion,Femenino,356,40582.12
Rocas de aplicacion,Masculino,4814,54289.05
Rocas de aplicacion,Desconocido,22,60708.12
Servicios mineros y actividades relacionadas,Femenino,216,54835.08
Servicios mineros y actividades relacionadas,Masculino,4638,60292.56
Servicios mineros y actividades relacionadas,Desconocido,41,48599.17
Combustibles-Produccion,Femenino,292,60679.44
Combustibles-Produccion,Masculino,2248,95478.98
Combustibles-Produccion,Desconocido,20,100876.77
Litio-exploracion y financiacion,Femenino,67,145812.86
Litio-exploracion y financiacion,Masculino,209,229462.41
Litio-exploracion y financiacion,Desconocido,4,489774.11
Litio-Produccion,Femenino,237,110552.63
Litio-Produccion,Masculino,1048,138541.8
Litio-Produccion,Desconocido,11,115312.97
Metaliferos-exploracion y financiacion,Femenino,93,79282.55
Metaliferos-exploracion y financiacion,Masculino,633,112802.43
Metaliferos-exploracion y financiacion,Desconocido,5,66854.28
Metaliferos-Produccion,Femenino,744,135294.82
Metaliferos-Produccion,Masculino,9000,164894.91
Metaliferos-Produccion,Desconocido,62,130387.32
Minerales no clasificados previamente,Femenino,411,73479.76
Minerales no clasificados previamente,Masculino,4270,74448.93
Minerales no clasificados previamente,Desconocido,25,78710.15
No metaliferos,Femenino,280,68949.35
No metaliferos,Masculino,2175,69974.11
No metaliferos,Desconocido,14,51824.8
Rocas de aplicacion,Femenino,354,49733.03
Rocas de aplicacion,Masculino,4705,67023.63
Rocas de aplicacion,Desconocido,21,81976.41
Servicios mineros y actividades relacionadas,Femenino,218,70990.89
Servicios mineros y actividades relacionadas,Masculino,4605,78627.27
Servicios mineros y actividades relacionadas,Desconocido,39,64529.86
Combustibles-Produccion,Femenino,276,66028.44
Combustibles-Produccion,Masculino,2209,86263.26
Combustibles-Produccion,Desconocido,20,85397.39
Litio-exploracion y financiacion,Femenino,82,150104.99
Litio-exploracion y financiacion,Masculino,246,221107.06
Litio-exploracion y financiacion,Desconocido,4,463789.53
Litio-Produccion,Femenino,244,119459.86
Litio-Produccion,Masculino,1088,139895.01
Litio-Produccion,Desconocido,11,133802.51
Metaliferos-exploracion y financiacion,Femenino,100,83065.59
Metaliferos-exploracion y financiacion,Masculino,644,100420.31
Metaliferos-exploracion y financiacion,Desconocido,5,66306.96
Metaliferos-Produccion,Femenino,765,191335.08
Metaliferos-Produccion,Masculino,9003,240850.54
Metaliferos-Produccion,Desconocido,64,187978.05
Minerales no clasificados previamente,Femenino,413,92015.36
Minerales no clasificados previamente,Masculino,4239,86324.54
Minerales no clasificados previamente,Desconocido,27,89246.3
No metaliferos,Femenino,286,66549.38
No metaliferos,Masculino,2124,66877.02
No metaliferos,Desconocido,13,53540.94
Rocas de aplicacion,Femenino,354,46606.07
Rocas de aplicacion,Masculino,4631,59116.86
Rocas de aplicacion,Desconocido,23,65761.86
Servicios mineros y actividades relacionadas,Femenino,217,90415.13
Servicios mineros y actividades relacionadas,Masculino,4525,85706.65
Servicios mineros y actividades relacionadas,Desconocido,39,66115.91
Combustibles-Produccion,Femenino,168,95841.59
Combustibles-Produccion,Masculino,1955,106892.7
Combustibles-Produccion,Desconocido,19,104549.81
Litio-exploracion y financiacion,Femenino,78,171531.57
Litio-exploracion y financiacion,Masculino,247,254527.6
Litio-exploracion y financiacion,Desconocido,4,621081.18
Litio-Produccion,Femenino,240,137488.13
Litio-Produccion,Masculino,1092,155836.08
Litio-Produccion,Desconocido,11,154420.53
Metaliferos-exploracion y financiacion,Femenino,70,94171.19
Metaliferos-exploracion y financiacion,Masculino,447,136425.91
Metaliferos-exploracion y financiacion,Desconocido,2,55134.42
Metaliferos-Produccion,Femenino,759,153272.92
Metaliferos-Produccion,Masculino,8958,182158.78
Metaliferos-Produccion,Desconocido,63,149198.96
Minerales no clasificados previamente,Femenino,367,89328.0
Minerales no clasificados previamente,Masculino,3753,90083.64
Minerales no clasificados previamente,Desconocido,22,80831.51
No metaliferos,Femenino,279,82741.93
No metaliferos,Masculino,2044,77886.45
No metaliferos,Desconocido,13,55062.72
Rocas de aplicacion,Femenino,330,51152.96
Rocas de aplicacion,Masculino,4362,61843.55
Rocas de aplicacion,Desconocido,21,65476.51
Servicios mineros y actividades relacionadas,Femenino,203,73348.4
Servicios mineros y actividades relacionadas,Masculino,4328,76699.72
Servicios mineros y actividades relacionadas,Desconocido,38,62011.19
Combustibles-Produccion,Femenino,171,80485.16
Combustibles-Produccion,Masculino,1952,90771.22
Combustibles-Produccion,Desconocido,19,86181.78
Litio-exploracion y financiacion,Femenino,75,193494.84
Litio-exploracion y financiacion,Masculino,245,291708.67
Litio-exploracion y financiacion,Desconocido,4,579534.4
Litio-Produccion,Femenino,235,141988.04
Litio-Produccion,Masculino,1086,159863.37
Litio-Produccion,Desconocido,10,155927.76
Metaliferos-exploracion y financiacion,Femenino,69,90313.91
Metaliferos-exploracion y financiacion,Masculino,446,126146.46
Metaliferos-exploracion y financiacion,Desconocido,2,72001.69
Metaliferos-Produccion,Femenino,765,161144.52
Metaliferos-Produccion,Masculino,9002,191265.58
Metaliferos-Produccion,Desconocido,60,161019.99
Minerales no clasificados previamente,Femenino,368,89687.57
Minerales no clasificados previamente,Masculino,3846,94682.15
Minerales no clasificados previamente,Desconocido,22,86930.92
No metaliferos,Femenino,270,77663.38
