Area,Genero,Cantidad_Empleados,Salario_Promedio
Combustibles-Produccion,Desconocido,13,12268.62
Litio-exploracion y financiacion,Femenino,7,7711.22
Litio-exploracion y financiacion,Masculino,90,7474.13
Litio-Produccion,Femenino,49,10240.59
Litio-Produccion,Masculino,299,10282.95
Litio-Produccion,Desconocido,3,8092.91
Metaliferos-exploracion y financiacion,Femenino,9,7412.78
Metaliferos-exploracion y financiacion,Masculino,50,6278.17
Metaliferos-exploracion y financiacion,Desconocido,1,4722.37
Metaliferos-Produccion,Femenino,728,8914.85
Metaliferos-Produccion,Masculino,8596,9909.77
Metaliferos-Produccion,Desconocido,52,9056.74
Minerales no clasificados previamente,Femenino,356,6832.41
Minerales no clasificados previamente,Masculino,3626,5961.13
Minerales no clasificados previamente,Desconocido,20,5890.81
No metaliferos,Femenino,284,4789.04
No metaliferos,Masculino,2165,5008.79
No metaliferos,Desconocido,19,4208.32
Rocas de aplicacion,Femenino,247,3941.64
Rocas de aplicacion,Masculino,3677,6027.74
Rocas de aplicacion,Desconocido,19,7065.58
Servicios mineros y actividades relacionadas,Femenino,173,7419.16
Servicios mineros y actividades relacionadas,Masculino,3952,7069.78
Servicios mineros y actividades relacionadas,Desconocido,23,5986.55
Combustibles-Produccion,Femenino,155,12734.18
Combustibles-Produccion,Masculino,1834,13493.42
Combustibles-Produccion,Desconocido,13,13662.26
Litio-exploracion y financiacion,Femenino,7,6680.56
Litio-exploracion y financiacion,Masculino,100,6355.3
Litio-Produccion,Femenino,53,8741.99
Litio-Produccion,Masculino,313,8669.94
Litio-Produccion,Desconocido,4,6631.54
Metaliferos-exploracion y financiacion,Femenino,12,6139.14
Metaliferos-exploracion y financiacion,Masculino,60,5768.79
Metaliferos-exploracion y financiacion,Desconocido,2,4790.58
Metaliferos-Produccion,Femenino,747,8506.59
Metaliferos-Produccion,Masculino,8794,9353.83
Metaliferos-Produccion,Desconocido,50,8826.23
Minerales no clasificados previamente,Femenino,368,6219.26
Minerales no clasificados previamente,Masculino,3738,5442.53
Minerales no clasificados previamente,Desconocido,20,5485.37
No metaliferos,Femenino,222,5106.55
No metaliferos,Masculino,1956,4816.69
No metaliferos,Desconocido,16,4327.98
Rocas de aplicacion,Femenino,252,3837.78
Rocas de aplicacion,Masculino,3779,5714.56
Rocas de aplicacion,Desconocido,19,5955.28
Servicios mineros y actividades relacionadas,Femenino,180,6491.72
Servicios mineros y actividades relacionadas,Masculino,3996,6480.65
Servicios mineros y actividades relacionadas,Desconocido,21,5326.32
Combustibles-Produccion,Femenino,157,13672.76
Combustibles-Produccion,Masculino,1922,15268.9
Combustibles-Produccion,Desconocido,13,14858.07
Litio-exploracion y financiacion,Femenino,9,9815.07
Litio-exploracion y financiacion,Masculino,127,7696.87
Litio-Produccion,Femenino,53,10224.97
Litio-Produccion,Masculino,326,10832.28
Litio-Produccion,Desconocido,4,8315.24
Metaliferos-exploracion y financiacion,Femenino,13,7573.63
Metaliferos-exploracion y financiacion,Masculino,63,7494.52
Metaliferos-exploracion y financiacion,Desconocido,3,5198.11
Metaliferos-Produccion,Femenino,773,10390.15
Metaliferos-Produccion,Masculino,8945,11400.84
Metaliferos-Produccion,Desconocido,50,10829.04
Minerales no clasificados previamente,Femenino,385,7713.29
Minerales no clasificados previamente,Masculino,3775,6873.36
Minerales no clasificados previamente,Desconocido,23,6602.78
No metaliferos,Femenino,199,6548.32
No metaliferos,Masculino,1864,6313.12
No metaliferos,Desconocido,15,5080.56
Rocas de aplicacion,Femenino,263,4728.99
Rocas de aplicacion,Masculino,3875,7200.18
Rocas de aplicacion,Desconocido,23,7233.09
Servicios mineros y actividades relacionadas,Femenino,178,8350.23
Servicios mineros y actividades relacionadas,Masculino,4101,8492.4
Servicios mineros y actividades relacionadas,Desconocido,21,7273.49
Combustibles-Produccion,Femenino,160,12048.1
Combustibles-Produccion,Masculino,2073,13297.62
Combustibles-Produccion,Desconocido,16,11767.35
Litio-exploracion y financiacion,Femenino,11,7479.82
Litio-exploracion y financiacion,Masculino,135,6906.23
Litio-Produccion,Femenino,56,9642.83
Litio-Produccion,Masculino,344,10601.0
Litio-Produccion,Desconocido,5,8712.79
Metaliferos-exploracion y financiacion,Femenino,14,8693.09
Metaliferos-exploracion y financiacion,Masculino,60,8440.16
Metaliferos-exploracion y financiacion,Desconocido,1,3866.68
Metaliferos-Produccion,Femenino,818,9674.43
Metaliferos-Produccion,Masculino,9142,10674.18
Metaliferos-Produccion,Desconocido,53,9989.0
Minerales no clasificados previamente,Femenino,415,7719.55
Minerales no clasificados previamente,Masculino,3888,6544.03
Minerales no clasificados previamente,Desconocido,23,6196.6
No metaliferos,Femenino,206,6004.49
No metaliferos,Masculino,1916,5538.83
No metaliferos,Desconocido,15,4520.85
Rocas de aplicacion,Femenino,272,4317.13
Rocas de aplicacion,Masculino,3994,6386.99
Rocas de aplicacion,Desconocido,25,6129.08
Servicios mineros y actividades relacionadas,Femenino,163,8074.91
Servicios mineros y actividades relacionadas,Masculino,4091,7754.46
Servicios mineros y actividades relacionadas,Desconocido,22,6922.23
Combustibles-Produccion,Femenino,160,14910.06
Combustibles-Produccion,Masculino,2099,17435.34
Combustibles-Produccion,Desconocido,18,14909.47
Litio-exploracion y financiacion,Femenino,12,9784.32
Litio-exploracion y financiacion,Masculino,146,8689.65
Litio-Produccion,Femenino,53,11471.88
Litio-Produccion,Masculino,352,11808.32
Litio-Produccion,Desconocido,5,10512.07
Metaliferos-exploracion y financiacion,Femenino,17,9991.58
Metaliferos-exploracion y financiacion,Masculino,74,9170.81
Metaliferos-exploracion y financiacion,Desconocido,1,3704.98
Metaliferos-Produccion,Femenino,833,11878.18
Metaliferos-Produccion,Masculino,9228,13043.4
Metaliferos-Produccion,Desconocido,57,12195.69
Minerales no clasificados previamente,Femenino,431,9780.58
Minerales no clasificados previamente,Masculino,3990,8281.25
Minerales no clasificados previamente,Desconocido,25,8193.0
No metaliferos,Femenino,202,7488.31
No metaliferos,Masculino,1898,6779.84
No metaliferos,Desconocido,15,4974.56
Rocas de aplicacion,Femenino,278,5423.78
Rocas de aplicacion,Masculino,3973,7840.71
Rocas de aplicacion,Desconocido,26,7875.32
Servicios mineros y actividades relacionadas,Femenino,163,9892.98
Servicios mineros y actividades relacionadas,Masculino,3955,9350.39
Servicios mineros y actividades relacionadas,Desconocido,21,8326.35
Combustibles-Produccion,Femenino,160,13829.29
Combustibles-Produccion,Masculino,2086,16329.99
Combustibles-Produccion,Desconocido,18,14683.27
Litio-exploracion y financiacion,Femenino,16,8791.88
Litio-exploracion y financiacion,Masculino,165,8061.75
Litio-exploracion y financiacion,Desconocido,1,13366.1
Litio-Produccion,Femenino,52,10802.3
Litio-Produccion,Masculino,356,11508.57
Litio-Produccion,Desconocido,4,9404.19
Metaliferos-exploracion y financiacion,Femenino,19,9929.72
Metaliferos-exploracion y financiacion,Masculino,76,8630.77
Metaliferos-exploracion y financiacion,Desconocido,1,4247.86
Metaliferos-Produccion,Femenino,858,10970.08
Metaliferos-Produccion,Masculino,9426,11873.98
Metaliferos-Produccion,Desconocido,60,10889.12
Minerales no clasificados previamente,Femenino,435,8772.03
Minerales no clasificados previamente,Masculino,4091,7575.61
Minerales no clasificados previamente,Desconocido,27,7584.76
No metaliferos,Femenino,200,6695.28
No metaliferos,Masculino,1978,5949.39
No metaliferos,Desconocido,15,4762.27
Rocas de aplicacion,Femenino,289,4940.64
Rocas de aplicacion,Masculino,3931,7310.99
Rocas de aplicacion,Desconocido,27,7130.96
Servicios mineros y actividades relacionadas,Femenino,177,8497.68
Servicios mineros y actividades relacionadas,Masculino,3925,8451.07
Servicios mineros y actividades relacionadas,Desconocido,21,7430.78
Combustibles-Produccion,Femenino,160,19926.7
Combustibles-Produccion,Masculino,2109,21264.61
Combustibles-Produccion,Desconocido,17,18701.78
Litio-exploracion y financiacion,Femenino,19,10565.44
Litio-exploracion y financiacion,Masculino,180,9612.79
Litio-exploracion y financiacion,Desconocido,1,15593.78
Litio-Produccion,Femenino,52,12710.33
Litio-Produccion,Masculino,358,14687.05
Litio-Produccion,Desconocido,6,8181.19
Metaliferos-exploracion y financiacion,Femenino,19,10474.99
Metaliferos-exploracion y financiacion,Masculino,75,10121.08
Metaliferos-exploracion y financiacion,Desconocido,1,4953.11
Metaliferos-Produccion,Femenino,853,13438.49
Metaliferos-Produccion,Masculino,9590,14599.58
Metaliferos-Produccion,Desconocido,62,13412.77
Minerales no clasificados previamente,Femenino,455,10401.08
Minerales no clasificados previamente,Masculino,3979,9582.04
Minerales no clasificados previamente,Desconocido,27,9424.83
No metaliferos,Femenino,203,8342.46
No metaliferos,Masculino,1998,7639.99
No metaliferos,Desconocido,15,6215.89
Rocas de aplicacion,Femenino,293,6474.96
Rocas de aplicacion,Masculino,3921,9340.89
Rocas de aplicacion,Desconocido,31,9197.02
Servicios mineros y actividades relacionadas,Femenino,185,10302.63
Servicios mineros y actividades relacionadas,Masculino,3881,10884.16
Servicios mineros y actividades relacionadas,Desconocido,21,9446.17
Combustibles-Produccion,Femenino,161,15818.61
Combustibles-Produccion,Masculino,2210,17178.94
Combustibles-Produccion,Desconocido,18,15575.81
Litio-exploracion y financiacion,Femenino,19,10367.41
Litio-exploracion y financiacion,Masculino,178,11287.89
Litio-exploracion y financiacion,Desconocido,1,16875.3
Litio-Produccion,Femenino,59,11802.73
Litio-Produccion,Masculino,369,13914.94
Litio-Produccion,Desconocido,7,9236.26
Metaliferos-exploracion y financiacion,Femenino,14,10512.24
Metaliferos-exploracion y financiacion,Masculino,61,10859.16
Metaliferos-Produccion,Femenino,874,13179.58
Metaliferos-Produccion,Masculino,9744,14370.67
Metaliferos-Produccion,Desconocido,64,12850.01
Minerales no clasificados previamente,Femenino,447,10326.61
Minerales no clasificados previamente,Masculino,3923,8835.3
Minerales no clasificados previamente,Desconocido,30,7794.76
No metaliferos,Femenino,227,7250.18
No metaliferos,Masculino,2060,7044.69
No metaliferos,Desconocido,17,5837.9
Rocas de aplicacion,Femenino,289,6004.88
Rocas de aplicacion,Masculino,3972,8150.71
Rocas de aplicacion,Desconocido,29,8080.48
Servicios mineros y actividades relacionadas,Femenino,178,9597.9
Servicios mineros y actividades relacionadas,Masculino,3787,9999.43
Servicios mineros y actividades relacionadas,Desconocido,20,8546.37
Combustibles-Produccion,Femenino,163,19673.03
Combustibles-Produccion,Masculino,2496,20079.72
Combustibles-Produccion,Desconocido,21,18002.48
Litio-exploracion y financiacion,Femenino,20,12331.2
Litio-exploracion y financiacion,Masculino,189,14308.87
Litio-exploracion y financiacion,Desconocido,1,19286.17
Litio-Produccion,Femenino,62,13845.97
Litio-Produccion,Masculino,368,16345.89
Litio-Produccion,Desconocido,7,11884.64
Metaliferos-exploracion y financiacion,Femenino,14,12195.77
Metaliferos-exploracion y financiacion,Masculino,57,14324.73
Metaliferos-Produccion,Femenino,859,15681.16
Metaliferos-Produccion,Masculino,9911,17297.34
Metaliferos-Produccion,Desconocido,64,15941.53
Minerales no clasificados previamente,Femenino,409,11845.23
Minerales no clasificados previamente,Masculino,3880,10001.71
Minerales no clasificados previamente,Desconocido,32,9298.16
No metaliferos,Femenino,235,8718.31
No metaliferos,Masculino,2093,8805.05
No metaliferos,Desconocido,15,7323.09
Rocas de aplicacion,Femenino,288,7279.69
Rocas de aplicacion,Masculino,3927,9886.45
Rocas de aplicacion,Desconocido,27,8768.49
Servicios mineros y actividades relacionadas,Femenino,166,12044.97
Servicios mineros y actividades relacionadas,Masculino,3637,12557.74
Servicios mineros y actividades relacionadas,Desconocido,19,9709.14
Combustibles-Produccion,Femenino,164,18150.64
Combustibles-Produccion,Masculino,2790,18629.18
Combustibles-Produccion,Desconocido,25,16619.33
Litio-exploracion y financiacion,Femenino,20,10908.73
Litio-exploracion y financiacion,Masculino,188,13219.55
Litio-exploracion y financiacion,Desconocido,1,17057.13
Litio-Produccion,Femenino,60,13349.7
Litio-Produccion,Masculino,383,14832.34
Litio-Produccion,Desconocido,7,10925.94
Metaliferos-exploracion y financiacion,Femenino,10,10641.61
Metaliferos-exploracion y financiacion,Masculino,39,12342.58
Metaliferos-Produccion,Femenino,843,14012.29
Metaliferos-Produccion,Masculino,9878,15476.49
Metaliferos-Produccion,Desconocido,65,14554.15
Minerales no clasificados previamente,Femenino,380,9892.65
Minerales no clasificados previamente,Masculino,3755,9099.16
Minerales no clasificados previamente,Desconocido,30,8341.65
No metaliferos,Femenino,199,8615.17
No metaliferos,Masculino,2064,8005.57
No metaliferos,Desconocido,13,6417.64
Rocas de aplicacion,Femenino,290,6776.36
Rocas de aplicacion,Masculino,4025,9525.1
Rocas de aplicacion,Desconocido,26,8612.83
Servicios mineros y actividades relacionadas,Femenino,161,10733.93
Servicios mineros y actividades relacionadas,Masculino,3625,11491.83
Servicios mineros y actividades relacionadas,Desconocido,20,8729.35
Combustibles-Produccion,Femenino,163,22936.91
Combustibles-Produccion,Masculino,2827,24836.0
Combustibles-Produccion,Desconocido,25,23407.91
Litio-exploracion y financiacion,Femenino,20,13234.14
Litio-exploracion y financiacion,Masculino,183,16589.46
Litio-exploracion y financiacion,Desconocido,1,20731.6
Litio-Produccion,Femenino,61,14890.62
Litio-Produccion,Masculino,387,17928.35
Litio-Produccion,Desconocido,6,12323.99
Metaliferos-exploracion y financiacion,Femenino,8,13835.12
Metaliferos-exploracion y financiacion,Masculino,30,14521.81
Metaliferos-Produccion,Femenino,814,17170.14
Metaliferos-Produccion,Masculino,9879,19256.13
Metaliferos-Produccion,Desconocido,66,17897.99
Minerales no clasificados previamente,Femenino,381,11937.36
Minerales no clasificados previamente,Masculino,3752,11115.48
Minerales no clasificados previamente,Desconocido,30,9045.24
No metaliferos,Femenino,200,10507.81
No metaliferos,Masculino,2015,9981.69
No metaliferos,Desconocido,13,7499.39
Rocas de aplicacion,Femenino,300,8352.56
Rocas de aplicacion,Masculino,4203,11893.62
Rocas de aplicacion,Desconocido,30,10799.83
Servicios mineros y actividades relacionadas,Femenino,193,12609.31
Servicios mineros y actividades relacionadas,Masculino,4922,12609.56
Servicios mineros y actividades relacionadas,Desconocido,33,9258.44
Combustibles-Produccion,Femenino,163,22298.86
Combustibles-Produccion,Masculino,2813,23001.68
Combustibles-Produccion,Desconocido,25,21872.07
Litio-exploracion y financiacion,Femenino,20,11777.9
Litio-exploracion y financiacion,Masculino,173,16590.66
Litio-exploracion y financiacion,Desconocido,1,17095.9
Litio-Produccion,Femenino,65,15058.63
Litio-Produccion,Masculino,386,19102.36
Litio-Produccion,Desconocido,6,13524.01
Metaliferos-exploracion y financiacion,Femenino,8,13624.86
Metaliferos-exploracion y financiacion,Masculino,30,14133.34
Metaliferos-Produccion,Femenino,824,16884.32
Metaliferos-Produccion,Masculino,10151,18684.48
Metaliferos-Produccion,Desconocido,70,16703.66
Minerales no clasificados previamente,Femenino,358,11237.14
Minerales no clasificados previamente,Masculino,3646,9851.93
Minerales no clasificados previamente,Desconocido,27,7230.83
No metaliferos,Femenino,209,9240.9
No metaliferos,Masculino,2120,8462.29
No metaliferos,Desconocido,13,6791.37
Rocas de aplicacion,Femenino,312,7611.12
Rocas de aplicacion,Masculino,4313,10329.37
Rocas de aplicacion,Desconocido,31,8897.48
Servicios mineros y actividades relacionadas,Femenino,198,11816.02
Servicios mineros y actividades relacionadas,Masculino,4826,11359.82
Servicios mineros y actividades relacionadas,Desconocido,37,7917.37
Combustibles-Produccion,Femenino,162,25309.99
Combustibles-Produccion,Masculino,2801,28116.59
Combustibles-Produccion,Desconocido,25,26315.32
Litio-exploracion y financiacion,Femenino,18,21344.91
Litio-exploracion y financiacion,Masculino,164,22848.14
Litio-exploracion y financiacion,Desconocido,1,19945.2
Litio-Produccion,Femenino,67,18430.06
Litio-Produccion,Masculino,399,22091.17
Litio-Produccion,Desconocido,6,15942.56
Metaliferos-exploracion y financiacion,Femenino,8,16110.87
Metaliferos-exploracion y financiacion,Masculino,31,16468.26
Metaliferos-Produccion,Femenino,809,20451.37
Metaliferos-Produccion,Masculino,10462,22953.87
Metaliferos-Produccion,Desconocido,70,19989.84
Minerales no clasificados previamente,Femenino,343,13233.79
Minerales no clasificados previamente,Masculino,3658,12609.37
Minerales no clasificados previamente,Desconocido,26,10004.74
No metaliferos,Femenino,212,12251.01
No metaliferos,Masculino,2082,11095.66
No metaliferos,Desconocido,11,9270.79
Rocas de aplicacion,Femenino,306,9670.45
Rocas de aplicacion,Masculino,4176,13147.21
Rocas de aplicacion,Desconocido,25,11188.63
Servicios mineros y actividades relacionadas,Femenino,205,13416.93
Servicios mineros y actividades relacionadas,Masculino,4899,14096.96
Servicios mineros y actividades relacionadas,Desconocido,37,9977.75
Combustibles-Produccion,Femenino,163,25354.54
Combustibles-Produccion,Masculino,2804,27504.77
Combustibles-Produccion,Desconocido,25,26392.67
Litio-exploracion y financiacion,Femenino,17,13943.73
